"description","total_amount"
"A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat","215.75"
"A Intrepid Panorama of a Mad Scientist And a Boy who must Redeem a Boy in A Monastery","199.72"
"A Awe-Inspiring Epistle of a Teacher And a Feminist who must Confront a Pioneer in Ancient Japan","198.73"
"A Beautiful Drama of a Pioneer And a Crocodile who must Challenge a Student in The Outback","191.74"
"A Emotional Reflection of a Sumo Wrestler And a Monkey who must Conquer a Robot in The Sahara Desert","190.78"
"A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon","190.74"
"A Unbelieveable Panorama of a Feminist And a Sumo Wrestler who must Challenge a Technical Writer in Ancient China","186.73"
"A Taut Yarn of a Technical Writer And a Feminist who must Outrace a Dog in California","177.73"
"A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan","169.76"
"A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans","168.72"
"A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin","165.77"
"A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory","164.75"
"A Lacklusture Tale of a Crocodile And a Composer who must Defeat a Madman in A U-Boat","162.79"
"A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat","160.72"
"A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India","159.75"
"A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India","159.73"
"A Awe-Inspiring Documentary of a Technical Writer And a Husband who must Meet a Monkey in An Abandoned Fun House","158.79"
"A Insightful Documentary of a Hunter And a Dentist who must Confront a Crocodile in A Baloon","158.77"
"A Fateful Reflection of a Car And a Teacher who must Confront a Waitress in A Monastery","157.71"
"A Beautiful Epistle of a Madman And a Butler who must Face a Crocodile in A Manhattan Penthouse","155.78"
"A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan","154.77"
"A Lacklusture Saga of a Moose And a Teacher who must Kill a Forensic Psychologist in A MySQL Convention","152.78"
"A Lacklusture Tale of a Pastry Chef And a Technical Writer who must Confront a Crocodile in An Abandoned Amusement Park","152.77"
"A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India","152.76"
"A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory","150.72"
"A Fanciful Drama of a Frisbee And a Dog who must Fight a Madman in A Jet Boat","149.80"
"A Brilliant Reflection of a Feminist And a Dog who must Fight a Boy in A Baloon Factory","149.78"
"A Fateful Reflection of a Waitress And a Crocodile who must Challenge a Forensic Psychologist in California","149.75"
"A Brilliant Display of a Robot And a Butler who must Fight a Waitress in An Abandoned Mine Shaft","148.79"
"A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia","148.76"
"A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank","146.81"
"A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria","146.75"
"A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan","145.78"
"A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery","144.81"
"A Stunning Epistle of a Dentist And a Dog who must Kill a Madman in Ancient China","144.78"
"A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico","142.79"
"A Awe-Inspiring Character Study of a Waitress And a Car who must Pursue a Mad Scientist in The First Manned Space Station","142.79"
"A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan","141.80"
"A Fateful Tale of a Squirrel And a Forensic Psychologist who must Redeem a Man in Nigeria","141.74"
"A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery","140.84"
"A Action-Packed Tale of a Sumo Wrestler And a A Shark who must Meet a Frisbee in California","140.78"
"A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico","140.74"
"A Fateful Saga of a Cat And a Frisbee who must Kill a Girl in A Manhattan Penthouse","139.82"
"A Amazing Yarn of a Robot And a Womanizer who must Discover a Forensic Psychologist in Berlin","138.83"
"A Boring Panorama of a Feminist And a Moose who must Defeat a Database Administrator in Nigeria","138.77"
"A Touching Display of a Pioneer And a Butler who must Chase a Car in California","138.77"
"A Insightful Character Study of a Waitress And a Crocodile who must Sink a Waitress in The Gulf of Mexico","137.77"
"A Astounding Panorama of a Monkey And a Secret Agent who must Defeat a Woman in The First Manned Space Station","137.77"
"A Lacklusture Reflection of a Dentist And a Hunter who must Meet a Teacher in A Baloon","137.76"
"A Fast-Paced Yarn of a Composer And a Frisbee who must Face a Moose in Nigeria","136.78"
"A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan","136.76"
"A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park","135.74"
"A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California","134.83"
"A Unbelieveable Character Study of a Womanizer And a Madman who must Reach a Man in The Outback","134.82"
"A Touching Panorama of a Lumberjack And a Frisbee who must Build a Dog in Australia","134.81"
"A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert","134.81"
"A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert","134.78"
"A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan","133.78"
"A Emotional Character Study of a Student And a Explorer who must Discover a Frisbee in The First Manned Space Station","133.77"
"A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies","132.80"
"A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India","132.80"
"A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft","132.76"
"A Thoughtful Display of a Astronaut And a Feminist who must Chase a Frisbee in A Jet Boat","131.80"
"A Touching Saga of a Sumo Wrestler And a Cat who must Pursue a Mad Scientist in Nigeria","131.78"
"A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat","131.78"
"A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China","131.77"
"A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria","131.76"
"A Fast-Paced Character Study of a Dentist And a Moose who must Defeat a Composer in The First Manned Space Station","131.76"
"A Fateful Panorama of a Moose And a Dog who must Chase a Crocodile in Ancient Japan","129.82"
"A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat","128.82"
"A Astounding Story of a Girl And a Boy who must Challenge a Composer in New Orleans","128.79"
"A Boring Story of a Butler And a Astronaut who must Outrace a Pioneer in Australia","126.81"
"A Emotional Story of a Squirrel And a Crocodile who must Succumb a Husband in The Sahara Desert","126.79"
"A Boring Drama of a A Shark And a Explorer who must Redeem a Waitress in The Canadian Rockies","126.79"
"A Lacklusture Reflection of a Girl And a Husband who must Find a Robot in The Canadian Rockies","126.79"
"A Insightful Reflection of a Crocodile And a Sumo Wrestler who must Meet a Technical Writer in The Sahara Desert","125.80"
"A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft","125.79"
"A Insightful Display of a Database Administrator And a Student who must Build a Hunter in Berlin","125.78"
"A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies","125.72"
"A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China","124.76"
"A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria","123.82"
"A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park","123.78"
"A Lacklusture Yarn of a Dentist And a Butler who must Meet a Secret Agent in Ancient China","122.84"
